ASS_NR;IFOPT
1172;de:05314:61986
1173;de:05314:61987
1174;de:05314:61988
1175;de:05314:61827
1176;de:05314:61928
1177;de:05314:61929
1178;de:05314:64717
1179;de:05314:64763
1180;de:05314:61780
1181;de:05314:61779
1182;de:05314:61826
1183;de:05314:61777
1184;de:05314:61778
1185;de:05314:64559
1186;de:05362:83169
1187;de:05362:86938
1188;de:05362:83168
1189;de:05362:83976
1190;de:05314:61784
1191;de:05314:61783
1192;de:05314:61782
1193;de:05362:88383
1194;de:05314:61681
1195;de:05362:88384
1196;de:05366:72037
1197;de:05374:45864
1198;de:05374:45137
1199;de:05374:47543
1200;de:05314:62673
1201;de:05314:62672
1202;de:05314:62671
1203;de:05314:61572
1204;de:05314:61571
1205;de:05120:12006
1206;de:05362:87144
1207;de:05120:12287
1208;de:05382:52591
1210;de:05314:62565
1211;de:05314:62564
1212;de:05314:62566
1213;de:05314:62567
1214;de:05314:62574
1215;de:05162:20717
1216;de:05374:44133
1219;de:05162:20063
1220;de:05314:62563
1221;de:05314:61467
1222;de:05162:20608
1223;de:05314:61464
1224;de:05314:62459
1225;de:05374:43735
1226;de:05374:42439
1227;de:05382:57934
1228;de:05382:57158
1229;de:05382:53155
1230;de:05314:62562
1231;de:05314:62561
1233;de:05362:83359
1234;de:05314:62570
1235;de:05314:62569
1237;de:05382:55869
1238;de:05382:54134
1239;de:05382:53166
1240;de:05314:62458
1241;de:05314:62451
1242;de:05314:62452
1243;de:05314:62456
1244;de:05314:69161
1245;de:05314:62457
1246;de:05366:72039
1247;de:05366:77137
1248;de:05366:77138
1249;de:05366:77139
1250;de:05382:57159
1251;de:05382:54740
1252;de:05314:61316
1253;de:05314:62225
1254;de:05382:54855
1255;de:05314:62249
1256;de:05314:62250
1257;de:05382:54856
1259;de:05382:54858
1260;de:05314:62130
1261;de:05314:62132
1263;de:05314:62133
1264;de:05314:62134
1265;de:05382:55739
1266;de:05382:55743
1267;de:05358:4963
1268;de:05314:66614
1269;de:05358:4939
1270;de:05314:62224
1271;de:05314:62338
1272;de:05314:62237
1273;de:05314:62223
1274;de:05314:62236
1276;de:05158:19499
1277;de:05162:20020
1278;de:05120:12130
1279;de:05358:4899
1280;de:05314:62322
1281;de:05314:62341
1282;de:05314:62339
1283;de:05314:62340
1284;de:05314:62346
1285;de:05314:62345
1286;de:05314:62321
1287;de:05358:2297
1288;de:05378:33146
1289;de:05316:21142
1290;de:05314:69230
1291;de:05314:69231
1292;de:05314:69232
1293;de:05314:69234
1294;de:05314:69237
1295;de:05314:69238
1296;de:05314:69235
1297;de:05314:69236
1298;de:05358:2363
1299;de:05358:2387
1300;de:05162:20010
1301;de:05314:69162
1302;de:05314:69163
1303;de:05314:69169
1304;de:05314:69170
1305;de:05314:69166
1306;de:05314:69139
1307;de:05314:69240
1308;de:05314:69168
1309;de:05314:69167
1310;de:05314:63384
1311;de:05314:63385
1312;de:05314:63386
1313;de:05314:63393
1314;de:05314:63387
1315;de:05314:63389
1317;de:05314:63383
1318;de:05314:63391
1319;de:05358:2191
1320;de:05314:63252
1321;de:05314:63276
1322;de:05314:63281
1323;de:05314:63277
1324;de:05162:20565
1325;de:05162:20544
1326;de:05158:19801
1327;de:05120:12004
1329;de:05124:11602
1330;de:05314:64137
1331;de:05314:64138
1332;de:05314:64139
1333;de:05314:64141
1334;de:05314:64140
1335;de:05314:64143
1336;de:05314:64136
1337;de:05314:64142
1338;de:05314:64144
1339;de:05158:19648
1340;de:05314:63156
1341;de:05314:63101
1342;de:05314:63155
1343;de:05358:2195
1344;de:05314:63153
1345;de:05314:63165
1346;de:05314:63154
1347;de:05122:13812
1348;de:05158:19695
1349;de:05120:12007
1350;de:05314:63758
1351;de:05314:63759
1352;de:05314:63760
1353;de:05314:63757
1354;de:05314:63761
1355;de:05314:63763
1356;de:05314:63762
1357;de:05314:63764
1358;de:05162:20013
1359;de:05382:54859
1360;de:05314:63478
1361;de:05314:63492
1362;de:05314:63682
1363;de:05314:63479
1364;de:05314:63490
1365;de:05314:63481
1366;de:05382:54861
1367;de:05382:54664
1368;de:05162:20547
1369;de:05162:20566
1370;de:05314:63666
1371;de:05314:63667
1372;de:05314:63671
1374;de:05314:63675
1375;de:05314:63672
1376;de:05162:20567
1377;de:05162:20568
1378;de:05162:20161
1379;de:05358:2211
1380;de:05314:63594
1381;de:05314:63596
1382;de:05314:63597
1383;de:05314:69371
1384;de:05314:69372
1385;de:05314:69373
1386;de:05314:69374
1387;de:05314:69431
1388;de:05366:72942
1390;de:05382:53845
1391;de:05382:53832
1392;de:05382:53831
1393;de:05382:53844
1394;de:05382:53842
1395;de:05382:53843
1396;de:05382:53735
1397;de:05358:2319
1398;de:05358:2293
1399;de:05358:2203
1400;de:05314:64772
1401;de:05314:64771
1402;de:05358:4751
1403;de:05314:64574
1404;de:05314:64558
1405;de:05314:64575
1406;de:05314:64511
1407;de:05314:64577
1408;de:05366:73757
1409;de:05314:64569
1410;de:05314:64685
1411;de:05314:64686
1412;de:05366:73758
1413;de:05314:64684
1414;de:05314:64679
1415;de:05314:64773
1416;de:05366:74137
1417;de:05366:74534
1419;de:05366:79449
1420;de:05382:53651
1421;de:05382:53654
1422;de:05382:53653
1423;de:05382:53652
1424;de:05378:33164
1426;de:05158:19889
1427;de:05158:19790
1428;de:05366:78482
1429;de:05366:78488
1430;de:05314:64454
1431;de:05314:64355
1432;de:05314:64357
1433;de:05314:64356
1434;de:05314:61785
1435;de:05366:78489
1436;de:05366:79451
1437;de:05382:53658
1438;de:05362:87446
1439;de:05366:78480
1440;de:05362:87445
1441;de:05314:64452
1442;de:05314:64453
1443;de:05314:64446
1444;de:05314:64447
1445;de:05314:64482
1446;de:05314:64448
1447;de:05314:64449
